视频地址,弹幕地址,弹幕时间,弹幕内容,情感得分,分析结果
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-30 21:01:26,！,0.5262327818078083,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-29 21:07:53,累,0.4962962962962961,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-29 20:22:44,],0.5262327818078083,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-29 20:09:02,感觉很累,0.6664064096217527,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-29 15:38:51,动起来了,0.44715447154471544,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-29 08:44:47,天气忽然变冷了，还是来坚持了,0.49231669871224026,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-29 01:41:03,。,0.5262327818078083,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-28 19:07:21,好累呀,0.6283322195921902,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-28 17:59:52,后面的女生是谁呀？你们跳一节难道不累吗？,0.10843246501838855,消极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-28 17:58:27,好棒哦！,0.875,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-28 15:17:42,哈哈哈哈,0.8684210526315791,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-27 21:03:42,米多,0.5038759689922481,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-26 20:55:32,哈哈哈,0.8684210526315791,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-26 17:48:38,这次我一下要减个够,0.7890052950102294,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-25 23:50:08,好累,0.6283322195921902,积极
https://www.bilibili.com/video/BV1Pa411v7vg,http://comment.bilibili.com/574147025.xml,2023-03-25 02:06:10,我一边吃薯片一边看,0.5852451658389385,积极
